#DICT: <español> <chinese>
foto             (f.)照片
familia          (f.)家庭
abuelo           (m.)祖父;外祖父
abuela           (f.)祖母;外祖母
padre            (m.)父亲
tío              (m.)叔叔;舅舅
tía              (f.)婶婶;舅妈
primo            (m.)表兄弟,堂兄弟
prima            (f.)表姐妹,堂姐妹
amable           (adj.)和蔼的，慈祥的
empresa          (f.)公司
sino-español     中西合资的
madre            (f.)母亲
cuidar           (tr.)照顾
hombre           (m.)男人
mujer            (f.)女人
moreno           (adj.;m.)(皮肤)黝黑的，黑发的
morena           (adj.;f.)(皮肤)黝黑的，黑发的
simpático        (adj.;m.)可爱的
simpática        (adj.;f.)可爱的
estudiar         (tr.)学习，研究
chico            (m.)小伙子
chica            (f.)姑娘
sorpresa         (f.)惊奇，意外
necesitar        (tr.)需要
hablar           (tr.)说,讲;(intr.)«en»(用...语言)说,讲
nivel            (m.)水平
elemental        (adj.)基本的，基础的
aula             (f.)教室
al día           每天(per day)
empezar          (tr.)开始;(intr.)开始;(intr.)«a»开始干...事
terminar         (tr.)结束;(intr.)结束;(intr.)«de»结束干...事
recreo           (m.)休息
durante          (adv.)在...期间
charlar          (intr.)谈话,聊天
con              (prep.)和
Hasta luego.     回见。再见。
Adiós.           再见。

empiezo          (intr.)开始,empezar(第一人称单数)
empiezas         (intr.)开始,empezar(第二人称单数)
empieza          (intr.)开始,empezar(第三人称单数)
empezamos        (intr.)开始,empezar(第一人称复数)
empezáis         (intr.)开始,empezar(第二人称复数)
empiezan         (intr.)开始,empezar(第三人称复数)

hablar de         谈及(talk about)
hablar en         (用...语言)说，讲

todos los días    天天(everyday)

el aula           教室(加冠词)

ir contigo        和你一起去
ir conmigo        和我一起去

¿Ya terminas de estudiar?    你已经学完了吗？
¿A qué hora empezáis a trabajar?   你们什么时候开始工作?

Habla mucho pero hace poco.      他说得多做得少。

¿Adónde vas con tantos libros?     你带着这么多书去哪？
¿Puedes venir?                     你能来吗？
¿Habla usted inglés?               您说英语吗？
