#DICT: <español> <chinese>
digo                     (tr.)告诉,decir(第一人称单数)
dices                    (tr.)告诉,decir(第二人称单数)
dice                     (tr.)告诉,decir(第三人称单数)
decimos                  (tr.)告诉,decir(第一人称复数)
decís                    (tr.)告诉,decir(第二人称复数)
dicen                    (tr.)告诉,decir(第三人称复数)

pido                     (tr.)借入,请求,pedir(第一人称单数)
pides                    (tr.)借入,请求,pedir(第二人称单数)
pide                     (tr.)借入,请求,pedir(第三人称单数)
pedimos                  (tr.)借入,请求,pedir(第一人称复数)
pedís                    (tr.)借入,请求,pedir(第二人称复数)
piden                    (tr.)借入,请求,pedir(第三人称复数)

me acuesto               (prnl.)睡下,躺下,acostarse(第一人称单数)
te acuestas              (prnl.)睡下,躺下,acostarse(第二人称单数)
se acuesta               (prnl.)睡下,躺下,acostarse(第三人称单数)
nos acostamos            (prnl.)睡下,躺下,acostarse(第一人称复数)
os acostáis              (prnl.)睡下,躺下,acostarse(第二人称复数)
se acuestan              (prnl.)睡下,躺下,acostarse(第三人称复数)

parezco                  (intr.)显得,使觉得,parecer(第一人称单数)
pareces                  (intr.)显得,使觉得,parecer(第二人称单数)
parece                   (intr.)显得,使觉得,parecer(第三人称单数)
parecemos                (intr.)显得,使觉得,parecer(第一人称复数)
parecéis                 (intr.)显得,使觉得,parecer(第二人称复数)
parecen                  (intr.)显得,使觉得,parecer(第三人称复数)

atiendo                  (tr.)接待,atender(第一人称单数)
atiendes                 (tr.)接待,atender(第二人称单数)
atiende                  (tr.)接待,atender(第三人称单数)
atendemos                (tr.)接待,atender(第一人称复数)
atendéis                 (tr.)接待,atender(第二人称复数)
atienden                 (tr.)接待,atender(第三人称复数)

devuelvo                 (tr.)归还,devolver(第一人称单数)
devuelves                (tr.)归还,devolver(第二人称单数)
devuelve                 (tr.)归还,devolver(第三人称单数)
devolvemos               (tr.)归还,devolver(第一人称复数)
devolvéis                (tr.)归还,devolver(第二人称复数)
devuelven                (tr.)归还,devolver(第三人称复数)
