#DICT: <español> <chinese>
línea                (f.)线路
volver a             重新,重又
Oiga.                喂
difícil              (adj.)困难的
central              (f.)总机;(adj.)中心的
ocupado              (p.p.;m.)被占用的;(f.)-da
entender             (tr.)懂,明白,理解
colgar               (tr.)挂
teléfono             (m.)电话
derecho              (m.)权利
trabajo              (m.)论文,作品
página               (f.)页
entrada              (f.)入场券,门票
concierto            (m.)音乐会
lástima              (f.)遗憾
café                 (m.)咖啡,咖啡馆
seguramente          (adv.)肯定,可能
Vale.                (表示赞同)好.行
de acuerdo           同意
piso                 (m.)楼层;(楼内的)套间
calle                (f.)街
cuarto               (num.)第四的
cerca de             挨近,靠近
piscina              (f.)游泳池
alguiler             (m.)租金
¡Huy!                (interj.)嗬
costar               (intr.)值...钱
barato               (adj.;m.)便宜的;(f.)-ta
tercero              (num.)第三的
circunvalación       (f.)环路
frigorífico          (m.)冰箱
gas                  (m.)煤气
luz                  (f.)光,灯
aparte               (adv.)另外,单独

cerca                (adv.)附近

magnífico            (adj.;m.)辉煌的;(f.)-ca
impresionante        (adj.)令人印象深刻的
pobre                (adj.)贫穷的;(m.;f.)穷人
lento                (adj.;m.)慢的;(f.)-ta

buenísimo           (adj.)bueno的绝对最高级(长)
bonísimo            (adj.)bueno的绝对最高级(短)
novísimo            (adj.)nuevo的绝对最高级
paupérrimo          (adj.)pobre的绝对最高级
limpísimo           (adj.)limpio的绝对最高级

lejísimos           (adv.)lejos的绝对最高级
cerquísima          (adv.)cerca的绝对最高级

necesariamente      (adv.)必然，必定
oportunidad         (f.)机会
dinámico            (adj.;m.)有活力的;(f.)-ca
dificultad          (f.)困难
humo                (m.)烟
ascensor            (m.)电梯
fijo                (adj.;m.)固定的;(f.)-ja
conserje            (m.)看门人
reunión             (f.)会议
piscina             (f.)游泳池
lujoso              (adj.;m.)豪华的,奢侈的
vista               (f.)视野

agua caliente       热水
caliente            (adj.)热的
agua                (f.)水
aire acondicionado  空调
corazón             (m.)心脏

vuelvo                 (intr.)回来,回到,volver(第一人称单数)
vuelves                (intr.)回来,回到,volver(第二人称单数)
vuelve                 (intr.)回来,回到,volver(第三人称单数)
volvemos               (intr.)回来,回到,volver(第一人称复数)
volvéis                (intr.)回来,回到,volver(第二人称复数)
vuelven                (intr.)回来,回到,volver(第三人称复数)

entiendo                  (tr.)明白,entender(第一人称单数)
entiendes                 (tr.)明白,entender(第二人称单数)
entiende                  (tr.)明白,entender(第三人称单数)
entendemos                (tr.)明白,entender(第一人称复数)
entendéis                 (tr.)明白,entender(第二人称复数)
entienden                 (tr.)明白,entender(第三人称复数)

cuelgo                 (tr.)挂,colgar(第一人称单数)
cuelgas                (tr.)挂,colgar(第二人称单数)
cuelga                 (tr.)挂,colgar(第三人称单数)
colgamos               (tr.)挂,colgar(第一人称复数)
colgáis                (tr.)挂,colgar(第二人称复数)
cuelgan                (tr.)挂,colgar(第三人称复数)
